dataset,dataset_label,model,n,accuracy_strict,accuracy_relaxed,relaxed_minus_strict
VQA-RAD-no-cot,VQA-RAD sampled,Claude Opus 4.8,100,0.54,0.62,0.07999999999999996
VQA-RAD-no-cot,VQA-RAD sampled,GPT-5.5,100,0.65,0.73,0.07999999999999996
VQA-RAD-no-cot,VQA-RAD sampled,Gemini 3.5 Flash,100,0.64,0.71,0.06999999999999995
VQA-RAD-no-cot,VQA-RAD sampled,Grok 4.3,100,0.55,0.62,0.06999999999999995
PMC-VQA,PMC-VQA sampled,Claude Opus 4.8,499,0.6052104208416834,0.6052104208416834,0.0
PMC-VQA,PMC-VQA sampled,GPT-5.5,500,0.624,0.624,0.0
PMC-VQA,PMC-VQA sampled,Gemini 3.5 Flash,500,0.606,0.606,0.0
PMC-VQA,PMC-VQA sampled,Grok 4.3,500,0.624,0.624,0.0
OmniVQA,OmniMedVQA sampled,Claude Opus 4.8,524,0.666030534351145,0.9045801526717557,0.23854961832061072
OmniVQA,OmniMedVQA sampled,GPT-5.5,524,0.6164122137404581,0.851145038167939,0.2347328244274809
OmniVQA,OmniMedVQA sampled,Gemini 3.5 Flash,524,0.6622137404580153,0.8874045801526718,0.22519083969465647
OmniVQA,OmniMedVQA sampled,Grok 4.3,524,0.5992366412213741,0.8320610687022901,0.23282442748091603
