dataset,dataset_label,model_short,model,n,expected_n,complete_dataset_run,cell_status,result_file_status,correct_strict,accuracy_strict,correct_relaxed,accuracy_relaxed,ci95_low_relaxed,ci95_high_relaxed,total_tokens,prompt_tokens,completion_tokens,reasoning_tokens,mean_tokens_per_sample
VQA-RAD-no-cot,VQA-RAD sampled,gpt55,GPT-5.5,100,100,True,complete,complete,65,0.65,73,0.73,0.6356788323205499,0.8073041585042365,141976,88062,53914,52410,1419.76
VQA-RAD-no-cot,VQA-RAD sampled,grok43,Grok 4.3,100,100,True,complete,complete,55,0.55,62,0.62,0.5220975529551107,0.7090240074752127,251544,86384,165160,0,2515.44
VQA-RAD-no-cot,VQA-RAD sampled,claude48opus,Claude Opus 4.8,100,100,True,complete,complete,54,0.54,62,0.62,0.5220975529551107,0.7090240074752127,106866,98746,8120,0,1068.66
VQA-RAD-no-cot,VQA-RAD sampled,gemini35flash,Gemini 3.5 Flash,100,100,True,complete,complete,64,0.64,71,0.71,0.6146110882442887,0.7898516425087773,173361,114063,864,0,1733.61
PMC-VQA,PMC-VQA sampled,gpt55,GPT-5.5,500,500,True,complete,complete,312,0.624,312,0.624,0.5807491793847674,0.6653599841807676,790727,147038,643689,634935,1581.454
PMC-VQA,PMC-VQA sampled,grok43,Grok 4.3,500,500,True,complete,complete,312,0.624,312,0.624,0.5807491793847674,0.6653599841807676,1194560,186678,1007882,0,2389.12
PMC-VQA,PMC-VQA sampled,claude48opus,Claude Opus 4.8,499,500,False,incomplete (499/500),complete,302,0.6052104208416834,302,0.6052104208416834,0.5616754318526422,0.647137899184649,206024,175108,30916,0,412.87374749498997
PMC-VQA,PMC-VQA sampled,gemini35flash,Gemini 3.5 Flash,500,500,True,complete,complete,303,0.606,303,0.606,0.5625178093072173,0.6478658305149335,1137862,596009,9866,0,2275.724
OmniVQA,OmniMedVQA sampled,gpt55,GPT-5.5,524,524,True,complete,complete,323,0.6164122137404581,446,0.851145038167939,0.8181167191052682,0.8790623179908087,1179426,1035223,144203,135445,2250.812977099237
OmniVQA,OmniMedVQA sampled,grok43,Grok 4.3,524,524,True,complete,complete,314,0.5992366412213741,436,0.8320610687022901,0.7976633581498009,0.8616255138867064,945509,521723,423786,0,1804.4064885496184
OmniVQA,OmniMedVQA sampled,claude48opus,Claude Opus 4.8,524,524,True,complete,complete,349,0.666030534351145,474,0.9045801526717557,0.8764000341174182,0.9268714651454529,765580,748134,17446,0,1461.030534351145
OmniVQA,OmniMedVQA sampled,gemini35flash,Gemini 3.5 Flash,524,524,True,complete,complete,347,0.6622137404580153,465,0.8874045801526718,0.8574721236789206,0.9116982270303381,821184,618984,6478,0,1567.145038167939
